,name,price_level,rating,user_ratings_total,formatted_address,latitude,longitude
931,Cafe Hoang | Vietnamese & Thai,1,4.4,199,"1020 W Argyle St, Chicago, IL 60640, USA",41.9735385,-87.6558137
798,Bibim Town,1,4.8,199,"5357 N Broadway, Chicago, IL 60640, USA",41.9797731,-87.6597663
1132,Bacolod Chicken House,1,4.4,203,"6320 N Lincoln Ave, Chicago, IL 60659, USA",41.9961834,-87.7171631
588,Gannon's Pub,1,4.5,203,"4264 N Lincoln Ave, Chicago, IL 60618, USA",41.959435,-87.6827244
664,Sicilian Bakery Inc,1,4.8,203,"4632 N Cumberland Ave, Chicago, IL 60656, USA",41.96405,-87.83735
782,Taqueria Gomez,1,4.3,204,"3635 W 31st St, Chicago, IL 60623, USA",41.8369201,-87.7160193
1087,Norwood Restaurant,1,4.2,205,"6101 N Northwest Hwy, Chicago, IL 60631, USA",41.992473,-87.7990017
682,Patio Restaurant,1,4.3,206,"1503 W Taylor St, Chicago, IL 60607, USA",41.86916,-87.6643493
1046,Paula's Thai Kitchen,1,4.3,207,"2441 N Halsted St, Chicago, IL 60614, USA",41.9267149,-87.6485892
1238,Tarboush Mediterranean Grill,1,4.2,208,"1608 W North Ave, Chicago, IL 60622, USA",41.9108182,-87.6680902
972,Burger boy lounge,1,4.3,209,"2657 W Devon Ave, Chicago, IL 60659, USA",41.9973451,-87.6968225
1186,Kam's Chop Suey,1,4.1,211,"7 E 83rd St, Chicago, IL 60619, USA",41.7432869,-87.6239434
133,Parrots Bar & Grill,1,4.6,214,"754 W Wellington Ave, Chicago, IL 60657, USA",41.9364755,-87.6490106
738,Northside Grill,1,4.4,218,"4351 N Elston Ave, Chicago, IL 60641, USA",41.9598784,-87.7279481
836,Crow Bar Inc,1,4.3,219,"4001 E 106th St, Chicago, IL 60617, USA",41.7024579,-87.5267738
1068,China Lamp Restaurant,1,4.5,220,"4603 S Ashland Ave, Chicago, IL 60609, USA",41.810237,-87.664593
376,Tiba Restaurant,1,4.4,221,"2721 W Lawrence Ave, Chicago, IL 60625, USA",41.968263,-87.697153
33,Spiteful Brewing Tap Room,1,4.7,221,"2024 W Balmoral Ave, Chicago, IL 60625, USA",41.9798007,-87.6806468
810,Taqueria La Fogata,1,4.4,222,"3930 W Montrose Ave, Chicago, IL 60618, USA",41.96114,-87.7263756
419,Deli King Inc,1,4.2,223,"410 W 71st St, Chicago, IL 60621, USA",41.765506,-87.635222
634,Grand Chinese Kitchen,1,4.2,225,"1511 E 87th St, Chicago, IL 60619, USA",41.7365406,-87.5875487
746,El Potosi,1,4.6,226,"3710 N Elston Ave, Chicago, IL 60618, USA",41.948769,-87.7122198
709,China Ho Restaurant,1,3.9,227,"5151 S Pulaski Rd, Chicago, IL 60632, USA",41.7991437,-87.7227757
241,Water Hole Lounge,1,4.3,227,"1400 S Western Ave, Chicago, IL 60608, USA",41.8628533,-87.686311
651,Diamante Azul,1,4.6,228,"5663-65 N Clark St, Chicago, IL 60660, USA",41.9851653,-87.6688336
1088,Eat First,1,4,229,"3337 W Belmont Ave, Chicago, IL 60618, USA",41.9390712,-87.7115718
1274,La Amistad Restaurant,1,4.3,229,"1914 W Montrose Ave #647, Chicago, IL 60613, USA",41.9616466,-87.6766375
1217,Ware Ranch Steak House,1,4.1,230,"11147 S Michigan Ave, Chicago, IL 60628, USA",41.6912035,-87.6207763
468,Vaughan's Pub,1,4.4,230,"2917 N Sheffield Ave, Chicago, IL 60657, USA",41.934987,-87.653787
519,Patino's Grill,1,4.8,230,"3109 W Irving Park Rd, Chicago, IL 60618, USA",41.9538024,-87.7061312
532,Taqueria Morelia,1,3.8,232,"3943 W Lawrence Ave, Chicago, IL 60625, USA",41.9681219,-87.7272858
852,Tuxpan Mexican Grill,1,4.3,234,"5540 N Milwaukee Ave #1227, Chicago, IL 60630, USA",41.9824892,-87.7745668
907,Lo's China Kitchen,1,4.3,234,"2800 W Irving Park Rd, Chicago, IL 60618, USA",41.9543337,-87.6987106
747,La Esquinita Taqueria,1,4.5,235,"6924 W Grand Ave, Chicago, IL 60707, USA",41.9237889,-87.7987156
404,Hilltop Restaurant,1,4,237,"2800 W Foster Ave, Chicago, IL 60625, USA",41.9759717,-87.6991742
762,David's Grill,1,4.3,238,"800 W Cermak Rd, Chicago, IL 60608, USA",41.8529561,-87.6469448
594,Lucky Grill,1,4.4,238,"7779 W Talcott Ave, Chicago, IL 60631, USA",41.9928519,-87.821583
988,Kababish BBQ & Grill,1,4.7,238,"1546 N Larrabee St, Chicago, IL 60610, USA",41.910584,-87.643616
715,May Flower,1,4,239,"5240 N Pulaski Rd M, Chicago, IL 60630, USA",41.9767805,-87.7287809
349,Rocky's Pancake House,1,4.3,240,"2948 E 83rd St, Chicago, IL 60617, USA",41.7448179,-87.5520404
1141,Shibam Yemeni Kitchen,1,4.2,241,"4748 N Kenneth Ave, Chicago, IL 60630, USA",41.9678,-87.7401783
1231,Kiki D's,1,4.2,241,"4117 S Ashland Ave, Chicago, IL 60609, USA",41.8188635,-87.6647909
1101,Guerrerense Restaurant,1,4.4,242,"4758 W Fullerton Ave, Chicago, IL 60639, USA",41.9244238,-87.7460549
414,LC Phau Restaurant,1,4.5,243,"2739 W Lawrence Ave, Chicago, IL 60625, USA",41.9683693,-87.6978505
862,La Cocina,1,4.1,245,"45 N Wells St, Chicago, IL 60606, USA",41.8827543,-87.6336202
897,Roma's Village Bar & Grill,1,4.2,245,"9247 S Commercial Ave, Chicago, IL 60617, USA",41.7267921,-87.5508444
100,Weeds Tavern,1,4.4,245,"1555 N Dayton St, Chicago, IL 60642, USA",41.9099693,-87.64931
706,China Kitchen,1,4,246,"5332 N Cumberland Ave, Chicago, IL 60656, USA",41.9764839,-87.8372661
809,Parkview Restaurant Grill,1,4.6,246,"2000 W 19th St, Chicago, IL 60608, USA",41.8560266,-87.6761144
121,56th st Grill and waffles,1,3.8,252,"5608 S Ashland Ave #1314, Chicago, IL 60636, USA",41.7918485,-87.6648045
938,Pepe's Mexican Restaurants,1,3.9,252,"6230 S Western Ave, Chicago, IL 60636, USA",41.7801672,-87.6838929
821,65 Express 201 W. Madison St,1,4,252,"201 W Madison St, Chicago, IL 60606, USA",41.8818893,-87.6344481
1179,Tacos Villa,1,4.6,253,"3139 W 63rd St, Chicago, IL 60629, USA",41.7788718,-87.7022227
919,Cardozo's Pub,1,4.1,255,"170 W Washington St, Chicago, IL 60602, USA",41.8833918,-87.6332364
755,Han Bat Restaurant,1,4.4,255,"2723 W Lawrence Ave, Chicago, IL 60625, USA",41.9681974,-87.69736
310,Subway,1,3.7,257,"5973 W Madison St, Chicago, IL 60644, USA",41.8798687,-87.7744499
959,Taqueria La Hacienda,1,4.2,257,"3452 W 59th St, Chicago, IL 60629, USA",41.786263,-87.7103625
721,Floyd's Pub,1,4.5,259,"1944 N Oakley Ave #6349, Chicago, IL 60647, USA",41.917488,-87.685107
491,Taqueria El Taquin,1,4.3,260,"13307 S Brandon Ave, Chicago, IL 60633, USA",41.6534191,-87.5456095
622,Taqueria Don Chilo Restaurant,1,4.1,262,"10643 S Halsted St, Chicago, IL 60628, USA",41.7001978,-87.6423017
999,Odge's,1,4.7,262,"730 N Damen Ave, Chicago, IL 60622, USA",41.8950267,-87.6771978
652,Southside African Restaurant,1,4.3,268,"8311 S Baltimore Ave, Chicago, IL 60617, USA",41.7444852,-87.5551148
963,Maxwell's Charcoal Grill,1,4.5,269,"8637 S Ashland Ave, Chicago, IL 60620, USA",41.7364871,-87.662881
768,Taqueria 5 De Mayo,1,4.6,269,"2415 W Montrose Ave, Chicago, IL 60618, USA",41.9612111,-87.6893685
1232,Old Lviv,1,4.5,270,"2228 W Chicago Ave, Chicago, IL 60622, USA",41.8959303,-87.683171
805,Taqueria El Chorrito,1,4.2,271,"6404 N Clark St, Chicago, IL 60626, USA",41.9982951,-87.6709975
657,Pizza Art Cafe,1,4.3,272,"4658 N Rockwell St, Chicago, IL 60625, USA",41.9665037,-87.6939156
516,Boulevard,1,4.5,272,"2645 W North Ave, Chicago, IL 60647, USA",41.9100202,-87.6938592
1260,Taqueria Los Altos De Jalisco,1,4.3,273,"4344 W 63rd St, Chicago, IL 60629, USA",41.7787479,-87.731847
707,Mr Salsa,1,4.5,274,"1025 W Montrose Ave, Chicago, IL 60613, USA",41.9616151,-87.6560615
1103,TIM TIM'S HALAL GRILL,1,4.5,276,"4148 W Montrose Ave, Chicago, IL 60641, USA",41.9610734,-87.7318769
1224,Super Burrito,1,4.2,279,"1502 N Western Ave, Chicago, IL 60622, USA",41.9086766,-87.6874551
554,Hoagy House,1,3.7,280,"7116 S Yates Blvd, Chicago, IL 60649, USA",41.765659,-87.566923
964,Ho Ho Restaurant,1,4.2,281,"7908 S Halsted St # D, Chicago, IL 60620, USA",41.7501843,-87.6444837
125,On Tour Brewing Company,1,4.7,281,"1725 W Hubbard St, Chicago, IL 60622, USA",41.8896054,-87.6705559
270,La Piri Tacos Taqueria,1,4.1,282,"6102 W Diversey Ave, Chicago, IL 60639, USA",41.9312482,-87.7786392
246,Los Molcajetes,1,4.3,282,"3532 W Montrose Ave, Chicago, IL 60618, USA",41.9612428,-87.7170507
1116,Fullerton Restaurant,1,4.4,285,"2400 W Fullerton Ave, Chicago, IL 60647, USA",41.9250516,-87.6879523
1152,Halal Dz House,1,4.7,285,"5753 W Belmont Ave, Chicago, IL 60634, USA",41.9381577,-87.7709624
180,Famous Grill,1,4.4,286,"8510 S Ashland Ave, Chicago, IL 60620, USA",41.7392858,-87.6634365
314,It's Greek 2 U Grill,1,4.7,286,"5449 N Clark St, Chicago, IL 60640, USA",41.9812807,-87.668127
281,Crepe House Cafe,1,4.8,287,"5033 N Elston Ave suite 107-a, Chicago, IL 60630, USA",41.97246,-87.7461089
55,Hubble Hookah Lounge,1,4.3,290,"3308 Harlem Ave, Chicago, IL 60634, USA",41.9401317,-87.8070336
215,Passion House Coffee Roasters,1,4.6,291,"2631 N Kedzie Ave, Chicago, IL 60647, USA",41.9293861,-87.7071028
845,Tiparos Thai Cuisine & Sushi Bar,1,4.2,293,"1540 N Clark St, Chicago, IL 60610, USA",41.91065,-87.631892
105,Mitchell's Tap,1,4.3,293,"3356 S Halsted St, Chicago, IL 60608, USA",41.8331474,-87.6463033
1086,Victor Bueno,1,4.6,294,"2057 W Cermak Rd, Chicago, IL 60608, USA",41.8520263,-87.6780361
87,Burwood Tap,1,4.3,295,"724 W Wrightwood Ave, Chicago, IL 60614, USA",41.9292174,-87.6475173
1204,Dog House Grill,1,3.9,296,"1534 N Wells St, Chicago, IL 60610, USA",41.9101938,-87.6348854
1066,Tropical Taste Restaurant,1,4.6,300,"3330 W North Ave, Chicago, IL 60647, USA",41.9102183,-87.710367
