,name,price_level,rating,user_ratings_total,formatted_address,latitude,longitude
1222,Aguela's Restaurant,NULL,3.8,6,"3445 W 51st St, Chicago, IL 60632, USA",41.8006321,-87.7104444
1282,Lotus Chop Suey,NULL,3.8,67,"814 E 79th St, Chicago, IL 60619, USA",41.7514223,-87.6044679
1297,Rickette's,NULL,3.8,98,"1514 W Taylor St, Chicago, IL 60607, USA",41.869508,-87.664754
73,Dunkin',1,3.9,184,"6001 W Addison St, Chicago, IL 60634, USA",41.9456199,-87.7766816
93,Harold's Chicken Shack #52,1,3.9,436,"7200 S Western Ave, Chicago, IL 60636, USA",41.7627387,-87.68363
109,Capital One Cafe,1,3.9,67,"100 S State St, Chicago, IL 60603, USA",41.8805444,-87.6280832
122,Golden Hook Fish & Chicken,1,3.9,214,"5215 W Chicago Ave, Chicago, IL 60651, USA",41.8946997,-87.7566154
200,Shark's Fish & Chicken,1,3.9,260,"855 W 87th St, Chicago, IL 60620, USA",41.735661,-87.6458
426,Potbelly,1,3.9,371,"756 E 111th St, Chicago, IL 60628, USA",41.6931249,-87.6020356
583,Old Chicago Pizza Company,1,3.9,312,"742 E 79th St #3118, Chicago, IL 60619, USA",41.7514057,-87.6060809
743,El Asador Restaurant,1,3.9,878,"4117 W 47th St #102, Chicago, IL 60632, USA",41.8075386,-87.7268257
763,Kennedy Fish & Chicken Corporation,1,3.9,520,"2425 E 72nd St, Chicago, IL 60649, USA",41.7643159,-87.5655384
768,China Ho Restaurant,1,3.9,227,"5151 S Pulaski Rd, Chicago, IL 60632, USA",41.7991437,-87.7227757
885,Dim Dim,1,3.9,306,"2820 S Wentworth Ave, Chicago, IL 60616, USA",41.841975,-87.632102
924,Maggie Gyros & Chicken,1,3.9,434,"349 E 47th St, Chicago, IL 60653, USA",41.8092678,-87.6176011
963,Maya's Pizza,1,3.9,232,"8550 S Commercial Ave, Chicago, IL 60617, USA",41.7395354,-87.5516478
965,Sabor Latino Restaurant,1,3.9,504,"3810 W North Ave, Chicago, IL 60647, USA",41.9100751,-87.7219527
980,Papa Philly & Fish,1,3.9,149,"7500 S Cottage Grove Ave, Chicago, IL 60619, USA",41.7584003,-87.6056174
994,Pepe's Mexican Restaurants,1,3.9,252,"6230 S Western Ave, Chicago, IL 60636, USA",41.7801672,-87.6838929
1152,Luna Cafe Restaurant,1,3.9,348,"63 E Harrison St, Chicago, IL 60605, USA",41.8742664,-87.6253065
1175,Fiesta Grill,1,3.9,151,"5636 Roosevelt Rd, Chicago, IL 60644, USA",41.865881,-87.7657035
1187,Luzzat,1,3.9,110,"1505 W Jarvis Ave, Chicago, IL 60626, USA",42.015882,-87.6687928
1260,Pizza Tango,1,3.9,88,"2859 W Cermak Rd, Chicago, IL 60623, USA",41.8517684,-87.6977211
1265,Alibaba Hookah Bar,1,3.9,456,"4046 W Lawrence Ave, Chicago, IL 60630, USA",41.968312,-87.7298036
1268,Palace Gate Restaurant - Ghanaian cuisine,1,3.9,110,"4548 N Magnolia Ave, Chicago, IL 60640, USA",41.9649875,-87.6613723
